sample,group,cell_count,protein_level,growth_rate,temperature,ph,oxygen
S01,Control,110,2.1,0.75,20,7.2,8.1
S02,Control,115,2.2,0.78,20,7.1,8.0
S03,Control,120,2.4,0.8,25,7.2,7.9
S04,Control,130,2.5,0.82,25,7.3,7.8
S05,Control,140,2.6,0.85,30,7.4,7.6
S06,Control,145,2.7,0.87,30,7.3,7.5
S07,Control,150,2.8,0.88,35,7.5,7.3
S08,Control,148,2.7,0.86,35,7.4,7.2
S09,Control,142,2.6,0.84,35,7.3,7.1
S10,Control,135,2.5,0.83,30,7.2,7.4
S11,Treated,155,3.0,0.95,20,7.2,8.0
S12,Treated,160,3.1,0.98,20,7.1,7.9
S13,Treated,165,3.3,1.02,25,7.2,7.8
S14,Treated,170,3.4,1.05,25,7.3,7.7
S15,Treated,180,3.6,1.1,30,7.4,7.5
S16,Treated,185,3.7,1.12,30,7.3,7.4
S17,Treated,190,3.8,1.15,35,7.5,7.2
S18,Treated,195,3.9,1.18,35,7.4,7.1
S19,Treated,200,4.0,1.2,35,7.3,7.0
S20,Treated,198,3.9,1.17,30,7.2,7.3
